"covid_measure_id","location_id","date_reported","data_type_id","scenario_id","mean","upper","lower","dt_mean","dt_upper","dt_lower","data_class_id.x","date","location_name","covid_measure_name","data_class_id.y","definition","datatype","scenario_name"
1,145,2020-03-26,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-26,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-27,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-27,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-28,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-28,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-29,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-29,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-30,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-30,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-31,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-31,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-01,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-01,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-02,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-02,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-03,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-03,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-04,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-04,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-05,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-05,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-06,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-06,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-07,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-07,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-08,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-08,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-09,2,1,7.89481827159768,15,2.74791666666667,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-09,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-10,2,1,15.7159001299354,28.3333333333333,6.665,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-10,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-11,2,1,23.6821249174845,39.025,11.5,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-11,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-12,2,1,31.688679626909,47,17,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-12,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-13,2,1,39.3913520899852,60.0125,22.5,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-13,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-14,2,1,47.1016594408859,67.5,29.6625,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-14,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-15,2,1,53.6362462678661,76.5,33.996875,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-15,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-16,2,1,54.013373081004,74.5125,35.5,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-16,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-17,2,1,54.4788220243808,77,35.9875,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-17,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-18,2,1,54.8817713000235,74.634375,36,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-18,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-19,2,1,63.2096902889594,84.5125,43.325,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-19,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-20,2,1,71.8255806596182,92.5125,49.39,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-20,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-21,2,1,80.5226683452169,105,57.4875,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-21,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-22,2,1,89.3587673473585,115.033333333333,64,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-22,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-23,2,1,98.0548827933504,126.7075,72.24375,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-23,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-24,2,1,106.715168739022,136.093636363636,80,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-24,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-25,2,1,121.812826689895,151.03125,91.315625,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-25,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-26,2,1,130.569976566816,164,99.8482142857143,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-26,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-27,2,1,139.81543860135,173,107.975,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-27,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-28,2,1,148.586795843209,184,114.195,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-28,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-29,2,1,156.894810937184,192.0125,124.98125,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-29,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-04-30,2,1,165.058901863414,200.0125,133.9875,"9999-09-09","9999-09-09","9999-09-09",1,2020-04-30,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-05-01,2,1,180.392413860078,218.0125,147.24375,"9999-09-09","9999-09-09","9999-09-09",1,2020-05-01,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-05-02,2,1,189.482789869608,225,155.24375,"9999-09-09","9999-09-09","9999-09-09",1,2020-05-02,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-05-03,2,1,198.96937327958,235.5125,166.164772727273,"9999-09-09","9999-09-09","9999-09-09",1,2020-05-03,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-05-04,2,1,207.854874209696,246.22,172.4875,"9999-09-09","9999-09-09","9999-09-09",1,2020-05-04,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-05-05,2,1,224.357292103648,264.0125,186.978571428571,"9999-09-09","9999-09-09","9999-09-09",1,2020-05-05,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-05-06,2,1,240.991688293406,282.175,201.5,"9999-09-09","9999-09-09","9999-09-09",1,2020-05-06,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
